0 0  0 -85.4038
0 4231.6  3 -41.2913
0 4245.38  3 -41.9403
0 4259.17  3 -42.5513
0 4272.95  3 -43.1318
0 4286.73  3 -43.685
0 4300.52  3 -44.2161
0 4314.3  3 -44.7769
0 4328.08  3 -45.335
0 4341.87  3 -45.8899
0 4355.65  3 -46.4099
0 4369.44  3 -46.9037
0 4383.22  3 -47.3742
0 4397  3 -47.8247
0 4410.79  3 -48.2127
0 4424.57  3 -48.5665
0 4438.35  3 -48.8871
0 4452.14  3 -49.2373
0 4465.92  3 -49.774
0 4479.7  3 -50.3971
0 4493.49  3 -51.0458
0 4507.27  3 -51.5915
0 4521.06  3 -52.0566
0 4534.84  3 -52.471
0 4548.62  3 -52.8557
0 4562.41  3 -53.2819
0 4576.19  3 -53.7131
0 4589.97  3 -54.1496
0 4603.76  3 -54.5786
0 4617.54  3 -55.0335
0 4631.33  3 -55.4842
0 4645.11  3 -55.9264
0 4658.89  3 -56.2589
0 4672.68  3 -56.5202
0 4686.46  3 -56.7342
0 4700.24  3 -56.9399
0 4714.03  3 -57.268
0 4727.81  3 -57.629
0 4741.6  3 -58.0261
0 4755.38  3 -58.3679
0 4769.16  3 -58.6492
0 4782.95  3 -58.9024
0 4796.73  3 -59.135
0 4810.51  3 -60.2204
0 4824.3  3 -62.8262
0 4838.08  3 -65.1737
0 4851.87  3 -66.8958
0 4865.65  3 -66.0112
0 4879.43  3 -65.7895
0 4893.22  3 -65.0026
0 4907  3 -63.756
0 4920.78  3 -62.6199
0 4934.57  3 -61.8355
0 4948.35  3 -60.7429
0 4962.13  3 -59.7416
0 4975.92  3 -58.7334
0 4989.7  3 -58.0128
0 5003.49  3 -57.3659
0 5017.27  3 -56.7136
0 5031.05  3 -56.1907
0 5044.84  3 -55.4859
0 5058.62  3 -54.8434
0 5072.4  3 -54.2505
0 5086.19  3 -53.712
0 5099.97  3 -53.2209
0 5113.76  3 -52.6536
0 5127.54  3 -52.3143
0 5141.32  3 -51.6894
0 5155.11  3 -51.124
0 5168.89  3 -50.5838
0 5182.67  3 -50.2839
0 5196.46  3 -50.1791
0 5210.24  3 -49.6135
0 5224.03  3 -49.5276
0 5237.81  3 -49.2275
0 5251.59  3 -48.6107
0 5265.38  3 -47.6346
0 5279.16  3 -46.8574
0 5292.94  3 -46.6272
0 5306.73  3 -46.3726
0 5320.51  3 -46.2375
0 5334.29  3 -46.0777
0 5348.08  3 -45.6346
0 5361.86  3 -45.06
0 5375.65  3 -44.5277
0 5389.43  3 -44.3438
0 5403.21  3 -44.2079
0 5417  3 -44.1216
0 5430.78  3 -44.4061
0 5444.56  3 -44.0857
0 5458.35  3 -42.836
0 5472.13  3 -42.3913
0 5485.92  3 -43.1001
0 5499.7  3 -43.8096
0 5513.48  3 -44.553
0 5527.27  3 -45.5875
0 5541.05  3 -46.5609
0 5554.83  3 -47.0693
0 5568.62  3 -46.9317
0 5582.4  3 -46.8566
0 5596.19  3 -46.3937
0 5609.97  3 -46.1969
0 5623.75  3 -46.4209
0 5637.54  3 -46.9815
0 5651.32  3 -47.5308
0 5665.1  3 -48.1354
0 5678.89  3 -48.747
0 5692.67  3 -49.3395
0 5706.45  3 -50.0297
0 5720.24  3 -50.9641
0 5734.02  3 -51.9856
0 5747.81  3 -52.921
0 5761.59  3 -53.9433
0 5775.37  3 -55.0066
0 5789.16  3 -56.0123
0 5802.94  3 -57.0056
0 5816.72  3 -58.2985
0 5830.51  3 -59.7178
0 5844.29  3 -60.9949
0 5858.08  3 -62.0688
0 5871.86  3 -62.9774
0 5885.64  3 -63.7825
0 5899.43  3 -64.5204
0 5913.21  3 -65.6562
0 5926.99  3 -67.154
0 5940.78  3 -68.5539
0 5954.56  3 -69.5421
0 5968.35  3 -69.9098
0 5982.13  3 -70.0603
0 5995.91  3 -69.9315
0 6009.7  3 -69.8356
0 6023.48  3 -69.7399
0 6037.26  3 -69.6174
0 6051.05  3 -69.548
0 6064.83  3 -69.717
0 6078.61  3 -70.08
0 6092.4  3 -70.5685
0 6106.18  3 -71.3529
0 6119.97  3 -73.0712
0 6133.75  3 -75.1576
0 6147.53  3 -77.0204
0 6161.32  3 -77.2026
0 6175.1  3 -77.9614
0 6188.88  3 -77.8233
0 6202.67  3 -77.9665
0 6216.45  3 -79.4206
0 6230.24  3 -81.7149
0 6244.02  3 -83.8799
0 6257.8  3 -87.2154
0 6271.59  3 -92.5033
0 6285.37  3 -97.2535
0 6299.15  3 -96.0567
0 6312.94  3 -87.3525
0 6326.72  3 -86.4026
0 6340.51  3 -87.4908
0 6354.29  3 -86.3583
0 6368.07  3 -84.9403
0 6381.86  3 -84.9375
0 6395.64  3 -84.2358
0 6409.42  3 -83.429
0 6423.21  3 -83.0447
0 6436.99  3 -82.352
0 6450.78  3 -81.5126
0 6464.56  3 -80.2283
0 6478.34  3 -79.9639
0 6492.13  3 -80.4936
0 6505.91  3 -80.7971
0 6519.69  3 -75.9839
0 6533.48  3 -75.1087
0 6547.26  3 -75.129
0 6561.04  3 -74.6568
0 6574.83  3 -74.5901
0 6588.61  3 -74.1057
0 6602.4  3 -73.3568
0 6616.18  3 -72.5883
0 6629.96  3 -73.0828
0 6643.75  3 -72.9625
0 6657.53  3 -71.2361
0 6671.31  3 -68.8739
0 6685.1  3 -68.6725
0 6698.88  3 -68.8545
0 6712.67  3 -68.8748
0 6726.45  3 -68.8577
0 6740.23  3 -68.6774
0 6754.02  3 -68.6072
0 6767.8  3 -69.0418
0 6781.58  3 -70.4094
0 6795.37  3 -71.63
0 6809.15  3 -72.2083
0 6822.94  3 -72.4489
0 6836.72  3 -72.483
0 6850.5  3 -72.4474
0 6864.29  3 -72.4471
0 6878.07  3 -72.469
0 6891.85  3 -72.5077
0 6905.64  3 -72.5568
0 6919.42  3 -72.6127
0 6933.2  3 -72.6727
0 6946.99  3 -72.7354
0 6960.77  3 -72.4683
0 6974.56  3 -72.2197
0 6988.34  3 -71.8086
0 7002.12  3 -71.4454
0 7015.91  3 -71.3582
0 7029.69  3 -71.4848
0 7043.47  3 -71.7697
0 7057.26  3 -72.0511
0 7071.04  3 -72.3677
0 7084.83  3 -72.6905
0 7098.61  3 -72.9954
0 7112.39  3 -73.0938
0 7126.18  3 -73.1551
0 7139.96  3 -73.1252
0 7153.74  3 -73.1396
0 7167.53  3 -73.2487
0 7181.31  3 -73.3964
0 7195.1  3 -73.5766
0 7208.88  3 -72.5519
0 7222.66  3 -71.5911
0 7236.45  3 -70.9691
0 7250.23  3 -69.9953
0 7264.01  3 -68.5508
0 7277.8  3 -68.5425
0 7291.58  3 -69.0794
0 7305.36  3 -69.6633
0 7319.15  3 -70.6221
0 7332.93  3 -71.789
0 7346.72  3 -72.8355
0 7360.5  3 -74.0555
0 7374.28  3 -75.4522
0 7388.07  3 -76.7695
0 7401.85  3 -77.8423
0 7415.63  3 -78.2333
0 7429.42  3 -78.5294
0 7443.2  3 -78.6323
0 7456.99  3 -78.6657
0 7470.77  3 -78.5983
0 7484.55  3 -78.5093
0 7498.34  3 -78.4055
0 7512.12  3 -78.5348
0 7525.9  3 -78.7929
0 7539.69  3 -79.1503
0 7553.47  3 -79.4243
0 7567.26  3 -79.4788
0 7581.04  3 -79.4918
0 7594.82  3 -79.4272
0 7608.61  3 -79.5907
0 7622.39  3 -79.9748
0 7636.17  3 -80.4984
0 7649.96  3 -81.0089
0 7663.74  3 -78.3068
0 7677.53  3 -77.2292
0 7691.31  3 -76.6256
0 7705.09  3 -76.1355
0 7718.88  3 -73.8878
0 7732.66  3 -75.1639
0 7746.44  3 -76.36
0 7760.23  3 -77.2193
0 7774.01  3 -77.823
0 7787.79  3 -78.2831
0 7801.58  3 -78.6753
0 7815.36  3 -78.9812
0 7829.15  3 -79.2505
0 7842.93  3 -79.483
0 7856.71  3 -79.6818
0 7870.5  3 -79.8381
0 7884.28  3 -79.9735
0 7898.06  3 -80.098
0 7911.85  3 -80.0717
0 7925.63  3 -80.0237
0 0  4 -69.9532
0 13.7837  4 -69.9392
0 27.5674  4 -69.9167
0 41.3511  4 -69.8898
0 55.1348  4 -69.8538
0 68.9185  4 -69.7768
0 82.7022  4 -69.6797
0 96.486  4 -69.5857
0 110.27  4 -69.4404
0 124.053  4 -69.2491
0 137.837  4 -68.9971
0 151.621  4 -68.7383
0 165.404  4 -68.3422
0 179.188  4 -67.9969
0 192.972  4 -67.6555
0 206.756  4 -67.3837
0 220.539  4 -67.23
0 234.323  4 -67.0636
0 248.107  4 -66.8825
0 261.89  4 -66.6873
0 275.674  4 -66.4866
0 289.458  4 -66.2872
0 303.242  4 -66.0815
0 317.025  4 -65.9514
0 330.809  4 -66.0119
0 344.593  4 -66.0725
0 358.376  4 -66.3107
0 372.16  4 -66.5667
0 385.944  4 -66.8273
0 399.728  4 -67.0864
0 413.511  4 -66.9645
0 427.295  4 -66.8257
0 441.079  4 -66.6784
0 454.862  4 -66.5234
0 468.646  4 -66.3651
0 482.43  4 -66.222
0 496.213  4 -66.0649
0 509.997  4 -65.937
0 523.781  4 -65.8067
0 537.565  4 -65.6419
0 551.348  4 -65.4724
0 565.132  4 -65.2359
0 578.916  4 -65.0171
0 592.699  4 -64.7939
0 606.483  4 -64.5924
0 620.267  4 -64.4472
0 634.051  4 -64.3152
0 647.834  4 -64.1584
0 661.618  4 -64.0425
0 675.402  4 -63.9521
0 689.185  4 -63.8954
0 702.969  4 -63.829
0 716.753  4 -63.8533
0 730.536  4 -63.9008
0 744.32  4 -63.9538
0 758.104  4 -64.0339
0 771.888  4 -64.1293
0 785.671  4 -64.2111
0 799.455  4 -64.31
0 813.239  4 -64.3631
0 827.022  4 -64.4017
0 840.806  4 -64.4305
0 854.59  4 -64.4501
0 868.374  4 -64.4243
0 882.157  4 -64.374
0 895.941  4 -64.3264
0 909.725  4 -64.2963
0 923.508  4 -64.4145
0 937.292  4 -65.0565
0 951.076  4 -65.2613
0 964.86  4 -65.6558
0 978.643  4 -66.241
0 992.427  4 -66.5841
0 1006.21  4 -66.4277
0 1019.99  4 -64.735
0 1033.78  4 -64.8674
0 1047.56  4 -64.3878
0 1061.35  4 -64.8735
0 1075.13  4 -65.3169
0 1088.91  4 -65.9522
0 1102.7  4 -66.3524
0 1116.48  4 -66.3979
0 1130.26  4 -66.4283
0 1144.05  4 -66.4579
0 1157.83  4 -66.4681
0 1171.62  4 -66.466
0 1185.4  4 -66.4929
0 1199.18  4 -66.5082
0 1212.97  4 -66.5698
0 1226.75  4 -66.6243
0 1240.53  4 -66.671
0 1254.32  4 -66.715
0 1268.1  4 -66.7265
0 1281.88  4 -66.7391
0 1295.67  4 -66.753
0 1309.45  4 -66.7682
0 1323.24  4 -66.7848
0 1337.02  4 -66.8027
0 1350.8  4 -66.8221
0 1364.59  4 -66.843
0 1378.37  4 -66.8654
0 1392.15  4 -66.8896
0 1405.94  4 -66.9154
0 1419.72  4 -66.9431
0 1433.51  4 -66.9726
0 1447.29  4 -67.0041
0 1461.07  4 -67.0377
0 1474.86  4 -67.0734
0 1488.64  4 -67.1114
0 1502.42  4 -67.1518
0 1516.21  4 -67.1947
0 1529.99  4 -67.2402
0 1543.78  4 -67.2886
0 1557.56  4 -67.3398
0 1571.34  4 -67.3941
0 1585.13  4 -67.4517
0 1598.91  4 -67.5127
0 1612.69  4 -67.5774
0 1626.48  4 -67.646
0 1640.26  4 -67.7187
0 1654.04  4 -67.7957
0 1667.83  4 -67.8775
0 1681.61  4 -67.9642
0 1695.4  4 -68.0563
0 1709.18  4 -68.1541
0 1722.96  4 -68.258
0 1736.75  4 -68.3686
0 1750.53  4 -68.4863
0 1764.31  4 -68.6118
0 1778.1  4 -68.7458
0 1791.88  4 -68.8889
0 1805.67  4 -69.042
0 1819.45  4 -69.2063
0 1833.23  4 -69.3827
0 1847.02  4 -69.5726
0 1860.8  4 -69.7775
0 1874.58  4 -69.9993
0 1888.37  4 -70.24
0 1902.15  4 -70.5021
0 1915.94  4 -70.7885
0 1929.72  4 -71.1026
0 1943.5  4 -71.4483
0 1957.29  4 -71.8296
0 1971.07  4 -72.2503
0 1984.85  4 -72.7103
0 1998.64  4 -73.2016
0 2012.42  4 -73.6751
0 2026.2  4 -74.0791
0 2039.99  4 -74.6838
0 2053.77  4 -75.2833
0 2067.56  4 -75.4169
0 2081.34  4 -75.6017
0 2095.12  4 -75.8642
0 2108.91  4 -75.8667
0 2122.69  4 -75.5482
0 2136.47  4 -75.2975
0 2150.26  4 -74.8441
0 2164.04  4 -73.6394
0 2177.83  4 -72.5084
0 2191.61  4 -71.5046
0 2205.39  4 -70.6585
0 2219.18  4 -70.4663
0 2232.96  4 -70.3894
0 2246.74  4 -70.2416
0 2260.53  4 -70.3439
0 2274.31  4 -70.5269
0 2288.1  4 -70.7319
0 2301.88  4 -70.9676
0 2315.66  4 -71.0956
0 2329.45  4 -71.1883
0 2343.23  4 -71.3639
0 2357.01  4 -71.3037
0 2370.8  4 -70.9502
0 2384.58  4 -70.6074
0 2398.37  4 -70.2043
0 2412.15  4 -69.9331
0 2425.93  4 -69.6923
0 2439.72  4 -69.4552
0 2453.5  4 -69.2106
0 2467.28  4 -69.0917
0 2481.07  4 -69.0107
0 2494.85  4 -68.9284
0 2508.63  4 -68.9606
0 2522.42  4 -69.2441
0 2536.2  4 -69.8637
0 2549.99  4 -70.1493
0 2563.77  4 -70.6644
0 2577.55  4 -71.1662
0 2591.34  4 -72.3156
0 2605.12  4 -73.1019
0 2618.9  4 -72.8648
0 2632.69  4 -72.6279
0 2646.47  4 -72.3103
0 2660.26  4 -71.6311
0 2674.04  4 -70.8436
0 2687.82  4 -70.1555
0 2701.61  4 -69.3764
0 2715.39  4 -69.0965
0 2729.17  4 -68.884
0 2742.96  4 -68.6602
0 2756.74  4 -68.5611
0 2770.53  4 -68.4441
0 2784.31  4 -68.4205
0 2798.09  4 -68.4621
0 2811.88  4 -67.6814
0 2825.66  4 -66.8004
0 2839.44  4 -66.1014
0 2853.23  4 -65.3692
0 2867.01  4 -65.2851
0 2880.79  4 -65.4272
0 2894.58  4 -65.5663
0 2908.36  4 -65.93
0 2922.15  4 -66.2817
0 2935.93  4 -66.801
0 2949.71  4 -67.455
0 2963.5  4 -67.4449
0 2977.28  4 -67.2356
0 2991.06  4 -67.6989
0 3004.85  4 -67.1708
0 3018.63  4 -64.5058
0 3032.42  4 -62.0639
0 3046.2  4 -59.2807
0 3059.98  4 -57.616
0 3073.77  4 -56.2792
0 3087.55  4 -55.1585
0 3101.33  4 -53.7231
0 3115.12  4 -52.7799
0 3128.9  4 -51.9575
0 3142.69  4 -51.1966
0 3156.47  4 -50.5654
0 3170.25  4 -50.2731
0 3184.04  4 -50.5651
0 3197.82  4 -50.9318
0 3211.6  4 -52.0251
0 3225.39  4 -54.313
0 3239.17  4 -50.3211
0 3252.95  4 -54.7051
0 3266.74  4 -56.0734
0 3280.52  4 -57.2851
0 3294.31  4 -60.3659
0 3308.09  4 -61.3797
0 3321.87  4 -60.255
0 3335.66  4 -59.584
0 3349.44  4 -59.1285
0 3363.22  4 -54.7702
0 3377.01  4 -50.1219
0 3390.79  4 -46.9184
0 3404.58  4 -47.8788
0 3418.36  4 -48.5428
0 3432.14  4 -49.2869
0 3445.93  4 -49.9636
0 3459.71  4 -50.3696
0 3473.49  4 -50.3535
0 3487.28  4 -50.7349
0 3501.06  4 -50.6802
0 3514.85  4 -51.0777
0 3528.63  4 -51.4383
0 3542.41  4 -51.7827
0 3556.2  4 -52.2935
0 3569.98  4 -53.0434
0 3583.76  4 -53.7307
0 3597.55  4 -54.2026
0 3611.33  4 -54.44
0 3625.12  4 -54.1209
0 3638.9  4 -57.7973
0 3652.68  4 -55.9263
0 3666.47  4 -55.2499
0 3680.25  4 -54.8341
0 3694.03  4 -54.8685
0 3707.82  4 -54.6662
0 3721.6  4 -55.5105
0 3735.38  4 -53.1431
0 3749.17  4 -49.9934
0 3762.95  4 -47.5892
0 3776.74  4 -44.3914
0 3790.52  4 -40.7473
0 3804.3  4 -36.6065
0 3818.09  4 -33.4514
0 3831.87  4 -30.5894
0 3845.65  4 -27.524
0 3859.44  4 -25.3428
0 3873.22  4 -23.642
0 3887.01  4 -22.5908
0 3900.79  4 -20.0951
0 3914.57  4 -19.9277
0 3928.36  4 -17.7755
0 3942.14  4 -20.774
0 3955.92  4 -15.5558
0 3969.71  4 -13.3273
0 3983.49  4 -12.407
0 3997.28  4 -23.0628
0 4011.06  4 -22.7136
0 4024.84  4 -25.1176
0 4038.63  4 -25.5562
0 4052.41  4 -26.9761
0 4066.19  4 -28.2575
0 4079.98  4 -29.4783
0 4093.76  4 -30.7156
0 4107.54  4 -31.8171
0 4121.33  4 -32.8322
0 4135.11  4 -33.7654
0 4148.9  4 -34.6175
0 4162.68  4 -35.3579
0 4176.46  4 -36.0872
0 4190.25  4 -36.7458
0 4204.03  4 -37.3901
0 4217.81  4 -38.045
0 4231.6  4 -38.6637
0 4245.38  4 -39.2881
0 4259.17  4 -39.8876
0 4272.95  4 -40.4613
0 4286.73  4 -41.0095
0 4300.52  4 -41.5371
0 4314.3  4 -42.1059
0 4328.08  4 -42.6243
0 4341.87  4 -43.1586
0 4355.65  4 -43.6725
0 4369.44  4 -44.165
0 4383.22  4 -44.6356
0 4397  4 -45.0867
0 4410.79  4 -45.4704
0 4424.57  4 -45.8461
0 4438.35  4 -46.1909
0 4452.14  4 -46.5551
0 4465.92  4 -47.1186
0 4479.7  4 -47.5857
0 4493.49  4 -48.1749
0 4507.27  4 -48.7004
0 4521.06  4 -49.1802
0 4534.84  4 -49.6232
0 4548.62  4 -50.0257
0 4562.41  4 -50.4666
0 4576.19  4 -50.873
0 4589.97  4 -51.2925
0 4603.76  4 -51.7195
0 4617.54  4 -52.1718
0 4631.33  4 -52.5948
0 4645.11  4 -53.0248
0 4658.89  4 -53.3542
0 4672.68  4 -53.6528
0 4686.46  4 -53.918
0 4700.24  4 -54.1514
0 4714.03  4 -54.5001
0 4727.81  4 -54.7947
0 4741.6  4 -55.1531
0 4755.38  4 -55.4827
0 4769.16  4 -55.7728
0 4782.95  4 -56.0523
0 4796.73  4 -56.3029
0 4810.51  4 -57.931
0 4824.3  4 -59.4296
0 4838.08  4 -61.6203
0 4851.87  4 -63.185
0 4865.65  4 -62.735
0 4879.43  4 -62.3376
0 4893.22  4 -62.1558
0 4907  4 -61.5682
0 4920.78  4 -60.754
0 4934.57  4 -59.8239
0 4948.35  4 -59.1127
0 4962.13  4 -58.2624
0 4975.92  4 -57.4348
0 4989.7  4 -56.6169
0 5003.49  4 -55.9328
0 5017.27  4 -55.3421
0 5031.05  4 -54.7436
0 5044.84  4 -54.2083
0 5058.62  4 -53.6036
0 5072.4  4 -53.0175
0 5086.19  4 -52.4607
0 5099.97  4 -51.9402
0 5113.76  4 -51.5139
0 5127.54  4 -51.0462
0 5141.32  4 -50.6716
0 5155.11  4 -50.1445
0 5168.89  4 -49.5943
0 5182.67  4 -49.0329
0 5196.46  4 -48.6979
0 5210.24  4 -48.5574
0 5224.03  4 -48.3121
0 5237.81  4 -48.3122
0 5251.59  4 -48.2203
0 5265.38  4 -47.6473
0 5279.16  4 -46.7214
0 5292.94  4 -46.0722
0 5306.73  4 -45.7768
0 5320.51  4 -45.7185
0 5334.29  4 -45.6788
0 5348.08  4 -45.6249
0 5361.86  4 -45.195
0 5375.65  4 -44.5492
0 5389.43  4 -44.0488
0 5403.21  4 -43.7983
0 5417  4 -44.055
0 5430.78  4 -44.2264
0 5444.56  4 -44.6638
0 5458.35  4 -44.1601
0 5472.13  4 -42.4295
0 5485.92  4 -41.8741
0 5499.7  4 -42.1497
0 5513.48  4 -42.8702
0 5527.27  4 -43.2523
0 5541.05  4 -44.0515
0 5554.83  4 -44.4527
0 5568.62  4 -44.5048
0 5582.4  4 -44.4806
0 5596.19  4 -44.3917
0 5609.97  4 -44.4687
0 5623.75  4 -44.3722
0 5637.54  4 -44.6046
0 5651.32  4 -45.019
0 5665.1  4 -45.6014
0 5678.89  4 -46.0681
0 5692.67  4 -46.6011
0 5706.45  4 -47.3222
0 5720.24  4 -48.1662
0 5734.02  4 -48.9673
0 5747.81  4 -49.8513
0 5761.59  4 -50.9203
0 5775.37  4 -51.8414
0 5789.16  4 -52.7969
0 5802.94  4 -53.8039
0 5816.72  4 -55.1639
0 5830.51  4 -56.2835
0 5844.29  4 -57.5369
0 5858.08  4 -58.5948
0 5871.86  4 -59.5443
0 5885.64  4 -60.4021
0 5899.43  4 -61.1819
0 5913.21  4 -62.7518
0 5926.99  4 -63.9615
0 5940.78  4 -65.4149
0 5954.56  4 -66.3201
0 5968.35  4 -66.4503
0 5982.13  4 -66.7194
0 5995.91  4 -66.94
0 6009.7  4 -66.8661
0 6023.48  4 -66.8091
0 6037.26  4 -66.7864
0 6051.05  4 -66.7808
0 6064.83  4 -67.1281
0 6078.61  4 -67.358
0 6092.4  4 -67.7421
0 6106.18  4 -68.9287
0 6119.97  4 -70.7101
0 6133.75  4 -72.4965
0 6147.53  4 -74.5121
0 6161.32  4 -75.7644
0 6175.1  4 -75.9665
0 6188.88  4 -76.2289
0 6202.67  4 -76.5237
0 6216.45  4 -77.1973
0 6230.24  4 -77.4458
0 6244.02  4 -78.8675
0 6257.8  4 -79.6852
0 6271.59  4 -80.4355
0 6285.37  4 -81.092
0 6299.15  4 -81.9661
0 6312.94  4 -80.2247
0 6326.72  4 -86.4687
0 6340.51  4 -84.3734
0 6354.29  4 -85.5128
0 6368.07  4 -87.0651
0 6381.86  4 -85.6332
0 6395.64  4 -84.626
0 6409.42  4 -83.7252
0 6423.21  4 -82.3894
0 6436.99  4 -81.5018
0 6450.78  4 -80.6865
0 6464.56  4 -80.8247
0 6478.34  4 -80.1016
0 6492.13  4 -79.3976
0 6505.91  4 -78.3644
0 6519.69  4 -78.0132
0 6533.48  4 -74.8123
0 6547.26  4 -73.8775
0 6561.04  4 -73.5817
0 6574.83  4 -73.2529
0 6588.61  4 -73.1202
0 6602.4  4 -72.9219
0 6616.18  4 -73.5991
0 6629.96  4 -73.1723
0 6643.75  4 -73.7703
0 6657.53  4 -72.6571
0 6671.31  4 -70.2775
0 6685.1  4 -68.2366
0 6698.88  4 -67.7063
0 6712.67  4 -67.4521
0 6726.45  4 -67.313
0 6740.23  4 -67.1316
0 6754.02  4 -67.047
0 6767.8  4 -67.4265
0 6781.58  4 -67.6793
0 6795.37  4 -68.7214
0 6809.15  4 -69.1896
0 6822.94  4 -69.5497
0 6836.72  4 -69.7605
0 6850.5  4 -69.8342
0 6864.29  4 -69.8631
0 6878.07  4 -69.8908
0 6891.85  4 -69.9252
0 6905.64  4 -69.9666
0 6919.42  4 -70.0136
0 6933.2  4 -70.0648
0 6946.99  4 -70.1191
0 6960.77  4 -69.9325
0 6974.56  4 -69.7229
0 6988.34  4 -69.4884
0 7002.12  4 -69.2182
0 7015.91  4 -69.1932
0 7029.69  4 -69.0577
0 7043.47  4 -69.188
0 7057.26  4 -69.4148
0 7071.04  4 -69.6744
0 7084.83  4 -69.9273
0 7098.61  4 -70.1964
0 7112.39  4 -70.2925
0 7126.18  4 -70.4021
0 7139.96  4 -70.4474
0 7153.74  4 -70.4883
0 7167.53  4 -70.596
0 7181.31  4 -70.6882
0 7195.1  4 -70.8284
0 7208.88  4 -70.4274
0 7222.66  4 -69.6475
0 7236.45  4 -68.8386
0 7250.23  4 -68.3157
0 7264.01  4 -68.2158
0 7277.8  4 -66.6889
0 7291.58  4 -66.8091
0 7305.36  4 -67.2276
0 7319.15  4 -68.0267
0 7332.93  4 -68.7626
0 7346.72  4 -69.713
0 7360.5  4 -70.995
0 7374.28  4 -72.1367
0 7388.07  4 -73.344
0 7401.85  4 -74.3717
0 7415.63  4 -74.7663
0 7429.42  4 -75.2214
0 7443.2  4 -75.5042
0 7456.99  4 -75.5832
0 7470.77  4 -75.5808
0 7484.55  4 -75.5877
0 7498.34  4 -75.5571
0 7512.12  4 -75.7494
0 7525.9  4 -75.8953
0 7539.69  4 -76.1579
0 7553.47  4 -76.3825
0 7567.26  4 -76.436
0 7581.04  4 -76.5212
0 7594.82  4 -76.5443
0 7608.61  4 -76.791
0 7622.39  4 -77.0991
0 7636.17  4 -77.4702
0 7649.96  4 -77.918
0 7663.74  4 -77.2267
0 7677.53  4 -75.5766
0 7691.31  4 -74.4743
0 7705.09  4 -73.8438
0 7718.88  4 -73.7727
0 7732.66  4 -72.5571
0 7746.44  4 -73.4972
0 7760.23  4 -74.1082
0 7774.01  4 -74.7353
0 7787.79  4 -75.2247
0 7801.58  4 -75.6303
0 7815.36  4 -75.9331
0 7829.15  4 -76.229
0 7842.93  4 -76.4817
0 7856.71  4 -76.6822
0 7870.5  4 -76.8495
0 7884.28  4 -77.0102
0 7898.06  4 -77.1511
0 7911.85  4 -77.126
0 7925.63  4 -77.1251
0 0  5 -69.2221
0 13.7837  5 -69.1816
0 27.5674  5 -69.1304
0 41.3511  5 -69.083
0 55.1348  5 -69.012
0 68.9185  5 -68.8952
0 82.7022  5 -68.7745
0 96.486  5 -68.6368
0 110.27  5 -68.4443
0 124.053  5 -68.1863
0 137.837  5 -67.9308
0 151.621  5 -67.6273
0 165.404  5 -67.3074
0 179.188  5 -67.0166
0 192.972  5 -66.75
0 206.756  5 -66.5547
0 220.539  5 -66.3992
0 234.323  5 -66.2347
0 248.107  5 -66.0635
0 261.89  5 -65.8941
0 275.674  5 -65.7399
0 289.458  5 -65.5946
0 303.242  5 -65.5066
0 317.025  5 -65.596
0 330.809  5 -65.7353
0 344.593  5 -65.8601
0 358.376  5 -65.9134
0 372.16  5 -65.9427
0 385.944  5 -66.0744
0 399.728  5 -66.2926
0 413.511  5 -66.1621
0 427.295  5 -66.021
0 441.079  5 -65.8751
0 454.862  5 -65.7268
0 468.646  5 -65.5935
0 482.43  5 -65.4522
0 496.213  5 -65.3086
0 509.997  5 -65.17
0 523.781  5 -65.0056
0 537.565  5 -64.8414
0 551.348  5 -64.6542
0 565.132  5 -64.4635
0 578.916  5 -64.2838
0 592.699  5 -64.1071
0 606.483  5 -63.9647
0 620.267  5 -63.8605
0 634.051  5 -63.7469
0 647.834  5 -63.6507
0 661.618  5 -63.5906
0 675.402  5 -63.5765
0 689.185  5 -63.5552
0 702.969  5 -63.574
0 716.753  5 -63.6363
0 730.536  5 -63.706
0 744.32  5 -63.7756
0 758.104  5 -63.8513
0 771.888  5 -63.9096
0 785.671  5 -63.9826
0 799.455  5 -64.049
0 813.239  5 -64.0819
0 827.022  5 -64.1004
0 840.806  5 -64.1246
0 854.59  5 -64.1321
0 868.374  5 -64.1128
0 882.157  5 -64.1137
0 895.941  5 -64.1717
0 909.725  5 -64.3464
0 923.508  5 -64.9814
0 937.292  5 -65.1135
0 951.076  5 -64.5076
0 964.86  5 -64.5358
0 978.643  5 -64.6413
0 992.427  5 -65.2964
0 1006.21  5 -64.672
0 1019.99  5 -63.7984
0 1033.78  5 -63.9204
0 1047.56  5 -65.0336
0 1061.35  5 -64.7011
0 1075.13  5 -64.9153
0 1088.91  5 -65.3876
0 1102.7  5 -66.0262
0 1116.48  5 -66.0493
0 1130.26  5 -66.0713
0 1144.05  5 -66.1009
0 1157.83  5 -66.1219
0 1171.62  5 -66.1643
0 1185.4  5 -66.1959
0 1199.18  5 -66.2327
0 1212.97  5 -66.2765
0 1226.75  5 -66.3097
0 1240.53  5 -66.3538
0 1254.32  5 -66.3873
0 1268.1  5 -66.4063
0 1281.88  5 -66.4267
0 1295.67  5 -66.4485
0 1309.45  5 -66.4719
0 1323.24  5 -66.4968
0 1337.02  5 -66.5234
0 1350.8  5 -66.5518
0 1364.59  5 -66.5819
0 1378.37  5 -66.6138
0 1392.15  5 -66.6477
0 1405.94  5 -66.6837
0 1419.72  5 -66.7218
